Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,14.2600521722893,20.27823276409024,8.241871580488361
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,12.709040417196826,18.54286794775028,6.875212886643377
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,12.446642712881877,17.765962750969447,7.127322674794307
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,12.535239330163993,18.04447513828874,7.026003522039241
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,13.292974691243264,19.233789497573603,7.352159884912927
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,12.749036753200624,17.981544370258202,7.516529136143046
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,12.172171580085958,16.978899410563184,7.365443749608732
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,12.508799687332989,17.322962864480047,7.694636510185931
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,11.869737017590593,16.658113831133967,7.081360204047217
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,11.803930299437347,16.414350386399846,7.193510212474847
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,11.555774886001975,15.98043060905111,7.131119162952844
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,11.316834049504129,15.488182616630676,7.145485482377576
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,10.845897085663758,15.095444623110186,6.596349548217329
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,11.357978210640084,15.211288996747104,7.504667424533064
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,11.107711339467045,14.891695004333185,7.323727674600904
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,11.009755485472748,14.269347845920606,7.750163125024888
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,11.920628302074816,15.932992443245247,7.908264160904386
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,11.363340960508529,14.57885255717998,8.147829363837074
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,11.603013565982687,15.18610032791076,8.019926804054618
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,11.455062666536474,14.931769308419405,7.978356024653545
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,11.32795417795883,14.766992469466652,7.888915886451008
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,11.373451769245191,14.746059237146737,8.000844301343651
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,11.52493443795729,15.248194544179348,7.801674331735232
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,11.585119570982748,15.003707965387695,8.1665311765778
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2014,12.649358385196386,16.520197116505265,8.778519653887505
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2015,12.480598889785162,15.904769514641128,9.056428264929195
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2016,12.300066370488874,15.750326392839948,8.849806348137802
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2017,11.293601082537617,14.412408505050651,8.174793660024582
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2018,9.709190706006195,12.151709648663324,7.266671763349069
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2019,8.873549931494848,11.632437884087354,6.114661978902342
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2020,7.784300909493758,10.07745499363546,5.491146825352056
Algeria,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2021,6.926463760076315,8.807613943230672,5.045313576921957
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1990,0.7495446834666188,1.0159926802028254,0.4830966867304123
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1991,0.7449173593488532,1.0420041909327171,0.4478305277649891
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1992,0.7264996469191614,0.9819970280583188,0.4710022657800039
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1993,0.7172634303115367,1.0077409390214065,0.426785921601667
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1994,0.6795696338775219,0.9500251097394972,0.4091141580155467
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1995,0.6456859980464815,0.8801250244832228,0.4112469716097403
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1996,0.5985980656116213,0.8235852853437854,0.3736108458794572
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1997,0.5654038548471028,0.7771342651765161,0.3536734445176894
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1998,0.4537346063160299,0.6338356318239996,0.2736335808080602
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1999,0.4899198795548019,0.6766142004471162,0.3032255586624876
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2000,0.5117991568078665,0.7077220573087125,0.31587625630702043
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2001,0.4892303544654213,0.6732848742549775,0.3051758346758649
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2002,0.4586570671316415,0.6434299086473092,0.2738842256159737
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2003,0.39705321577044383,0.5420356824465551,0.2520707490943326
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2004,0.4217900524543589,0.5751233418751154,0.26845676303360244
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2005,0.3618178002707824,0.4840924079746816,0.2395431925668831
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2006,0.3915377542173891,0.538004185861092,0.24507132257368627
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2007,0.3655928370219986,0.486318330586124,0.2448673434578733
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2008,0.16989921117805595,0.2308055828683724,0.10899283948773957
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2009,0.157921071354242,0.21031739146645176,0.10552475124203224
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2010,0.14266736511110745,0.1900238484828062,0.09531088173940867
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2011,0.1401076624070158,0.18674966328601864,0.09346566152801294
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2012,0.15512721193248344,0.2117753556533213,0.09847906821164554
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2013,0.15508243110050138,0.20911522799250645,0.10104963420849632
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2014,0.15942004310947455,0.2162639542251889,0.1025761319937602
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2015,0.1663240963221913,0.22087056835868296,0.11177762428569964
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2016,0.15545314512908093,0.2067537692642586,0.10415252099390324
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2017,0.15396221288408918,0.2027531108137659,0.10517131495441244
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2018,0.15712822485480205,0.20624222412465343,0.10801422558495063
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2019,0.14656055032440535,0.20143528934032237,0.09168581130848837
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2020,0.13429590109482764,0.17884459714156453,0.08974720504809075
Algeria,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2021,0.12019586215362656,0.16108105156403163,0.07931067274322151
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1990,1.1325732901879908,2.23198081887408,0.0331657615019016
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1991,0.9822199093028732,1.882381620039459,0.0820581985662874
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1992,0.933094880545901,1.7818438195137731,0.08434594157802888
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1993,0.9934291334337648,1.8857019333216385,0.1011563335458913
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1994,0.8799147580850772,1.7364836399702013,0.0233458761999532
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1995,0.8440735721512099,1.6408449549068251,0.0473021893955947
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1996,0.7169486128624868,1.336049791319552,0.0978474344054216
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1997,0.7571451214441984,1.4674155067312329,0.0468747361571639
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1998,0.6192517409217425,1.218663199069281,0.0198402827742042
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1999,0.6080656150882406,1.191683436130392,0.02444779404608932
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2000,0.5436755163020119,1.0625980550459833,0.024752977558040623
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2001,0.515100131521139,0.9995642032775262,0.03063605976475181
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2002,0.4824590058978401,0.9468070258456742,0.018110985950006098
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2003,0.4561463717498114,0.8820943835607505,0.03019835993887232
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2004,0.43710344957767394,0.8373309452668316,0.03687595388851622
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2005,0.4619937967493068,0.8929519633441797,0.03103563015443389
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2006,0.4523492554499281,0.8666115363411462,0.03808697455871008
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2007,0.4558769348845877,0.8928130471592668,0.018940822609908536
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2008,0.442800081121466,0.8451883353961366,0.04041182684679545
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2009,0.40478702862431537,0.7786244974147064,0.03094955983392433
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2010,0.4727110232082397,0.9589204106198284,0
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2011,0.409599840002699,0.8014665769246363,0.017733103080761703
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2012,0.4336151043719596,0.8775816899339272,0
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2013,0.4124593628147962,0.8164929284505563,0.008425797179036132
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2014,0.4499037409085552,0.920064617920552,0
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2015,0.45700541438891074,0.907060638679856,0.006950190097965436
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2016,0.47197668973538,0.9492259299498812,0
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2017,0.5147180880235087,1.0232884826429045,0.006147693404112919
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2018,0.5317428114381769,1.066405997746337,0
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2019,0.4644634990434709,0.9552652261514388,0
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2020,0.4749662121267683,0.9434244730960296,0.006507951157506908
Algeria,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2021,0.3807607243690948,0.7571737318180227,0.004347716920166944
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,1990,3.0040734367630586,4.033814352209443,1.9743325213166727
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,1991,2.903396271893948,4.001439870815759,1.8053526729721363
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,1992,2.704920184124846,3.7359641251338376,1.6738762431158545
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,1993,2.595794288546058,3.63627438755732,1.5553141895347955
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,1994,2.429954176992166,3.337846959130969,1.522061394853363
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,1995,2.159526496646328,2.972271611371199,1.3467813819214562
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,1996,2.0294013623768974,2.805342325878997,1.2534603988747977
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,1997,1.7928749073495078,2.4998255904808664,1.0859242242181493
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,1998,1.6238065647665898,2.285009295921577,0.9626038336116018
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,1999,1.3571604761715812,1.8963015917973245,0.818019360545838
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2000,1.241905382234608,1.7225102361838676,0.7613005282853484
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2001,1.1928329808660838,1.7236451496508756,0.662020812081292
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2002,1.109893786255996,1.5511042669667563,0.6686833055452355
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2003,1.2244416451084328,1.6611439429349006,0.7877393472819649
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2004,1.0707083601657206,1.4917416931689174,0.6496750271625238
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2005,1.206844701253729,1.6166222157669423,0.7970671867405148
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2006,1.3542604660888182,1.85460535057788,0.8539155815997568
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2007,1.4508122619229225,1.927765579866964,0.973858943978881
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2008,1.92671348104148,2.611255624936298,1.242171337146661
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2009,2.1723606491063228,2.885355122450324,1.4593661757623213
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2010,1.509413829039581,2.021294077997992,0.9975335800811704
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2011,1.3896987973042467,1.8609029956174332,0.91849459899106
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2012,1.5467704323386566,2.1222282678244726,0.9713125968528408
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2013,1.6429861198382898,2.200711598151857,1.085260641524722
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2014,1.595656424384094,2.156262636504957,1.0350502122632306
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2015,1.681410730974788,2.214796502599886,1.1480249593496896
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2016,1.660590705125215,2.2007079640515643,1.1204734461988652
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2017,1.6045695008292822,2.123261731102541,1.0858772705560231
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2018,1.6446059818836016,2.1585744722196125,1.1306374915475907
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2019,1.5224152393639798,2.082987768335623,0.9618427103923368
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2020,1.5551936716367765,2.093375801799092,1.0170115414744614
Algeria,1-5 months,Both sexes,Deaths,Number,Klebsiella pneumoniae,Carbapenems,Attributable,2021,1.3973485706911617,1.884146461528634,0.9105506798536892
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,1990,10.627849636074709,16.47702240799113,4.778676864158287
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,1991,10.482733810510668,16.86876941058192,4.096698210439415
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,1992,10.265693496152265,16.268715954358743,4.262671037945782
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,1993,9.084853683193824,14.833478854589986,3.336228511797662
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,1994,8.490965018559905,13.778147938264125,3.2037820988556858
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,1995,6.985974633048356,11.358510635253612,2.613438630843098
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,1996,6.939884013363719,11.2091404468798,2.670627579847637
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,1997,6.622689687333248,10.6333866580664,2.6119927166000982
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,1998,6.36113591668012,10.38613913340908,2.3361326999511585
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,1999,5.983226927064143,9.69437237484236,2.272081479285927
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2000,5.731931528150048,9.216231636000032,2.247631420300064
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2001,5.513842657749726,8.847306445091547,2.180378870407905
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2002,5.339815611814366,8.676311194814378,2.003320028814353
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2003,5.2723240564963465,8.189532186171949,2.3551159268207438
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2004,4.748414388662058,7.465860852759731,2.030967924564384
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2005,5.13351742065645,7.683336381886678,2.583698459426224
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2006,5.131824081646886,7.989543259438179,2.2741049038555903
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2007,5.104461064941535,7.594337844783202,2.614584285099869
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2008,6.156213036230769,9.17205199020924,3.1403740822522965
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2009,6.262365574810268,9.159232213465335,3.365498936155201
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2010,6.4774164724675245,9.524953705907564,3.429879239027485
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2011,6.559361985847378,9.54116085364666,3.577563118048096
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2012,6.216534788963456,9.450044440822232,2.98302513710468
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2013,6.292503913955146,9.275852863995784,3.309154963914509
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2014,6.50653655782838,9.804356266715583,3.2087168489411746
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2015,6.2955004310635125,9.07975019745296,3.5112506646740647
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2016,5.8896681623996905,8.58671124840618,3.192625076393201
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2017,5.723604827895899,8.298716831390719,3.1484928244010804
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2018,5.787792006218752,8.221587632189186,3.3539963802483186
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2019,5.625817197644672,8.429751374400627,2.821883020888716
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2020,4.772072949024283,7.040286120938928,2.503859777109638
Algeria,1-5 months,Both sexes,Deaths,Number,Pseudomonas aeruginosa,Carbapenems,Attributable,2021,4.189413548816397,6.200742841961688,2.1780842556711058
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,1990,0.3024928514179213,0.7268729557223546,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,1991,0.2715585883836046,0.6481410293482834,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,1992,0.2491210721290993,0.6008596562160231,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,1993,0.2317736254095997,0.562894801853373,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,1994,0.2173846134514579,0.5335557072348298,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,1995,0.1919120480239818,0.4684281945493742,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,1996,0.174408657719449,0.4280083127225861,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,1997,0.1618163990107885,0.3933166762327094,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,1998,0.1508027755455342,0.3646325834931198,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,1999,0.1452480927747696,0.3431020557678764,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2000,0.13299679767354677,0.3091081720353773,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2001,0.12533915992105166,0.28975772505709585,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2002,0.11860119962542376,0.2749621582100033,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2003,0.1150527252969431,0.2633989721916733,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2004,0.10978461449769587,0.2512408507193394,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2005,0.1060774216189804,0.24248131763127384,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2006,0.10646483390177228,0.2423186778784736,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2007,0.10274226742779524,0.23454116357254717,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2008,0.06842532129444492,0.15713476812808638,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2009,0.06746214146191817,0.15410505684224857,0
Algeria,1-5 months,Both sexes,Deaths,Number,Non-typhoidal Salmonella,Fluoroquinolones,Attributable,2010,0.06797534449366559,0.15606695132732118,0
