Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,0.5102715049111692,0.7039925298631743,0.3165504799591642
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,0.4650176058241179,0.6431577520375538,0.286877459610682
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,0.4151593674013255,0.5664483804604257,0.26387035434222533
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,0.3759235897063095,0.5106386163248554,0.2412085630877636
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,0.3853397261957157,0.5178475342107047,0.2528319181807267
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,0.3427553370517643,0.4654665402686645,0.2200441338348641
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,0.321959856834269,0.4351091872043182,0.2088105264642198
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,0.2975886323216135,0.3999105239688385,0.1952667406743885
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,0.2956468477861328,0.3992881481308066,0.1920055474414589
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,0.2808373423200643,0.3779397888606296,0.18373489577949897
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,0.26537488104445006,0.35596121980416,0.1747885422847401
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,0.2711070129938874,0.3599677369270239,0.18224628906075094
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,0.24612319817368425,0.33332120985334357,0.1589251864940249
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,0.2406726913415855,0.3180867605971938,0.1632586220859772
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,0.23839875361211718,0.31557817113247333,0.161219336091761
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,0.24752796200348554,0.31999468264593034,0.17506124136104073
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,0.2538336520784452,0.3315447422729189,0.17612256188397152
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,0.27470251619176345,0.33952528443534713,0.2098797479481798
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,0.27944329055140027,0.3477605541069483,0.21112602699585226
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,0.2697080745661025,0.3363728545358045,0.20304329459640053
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,0.28231472046800066,0.3519939287933529,0.21263551214264845
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,0.22760799378945878,0.281827345677918,0.17338864190099956
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,0.20804031522333655,0.25769502640333486,0.15838560404333824
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,0.18355211376285763,0.22954280603848573,0.13756142148722952
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2014,0.19311749786626092,0.23888390557473507,0.14735109015778677
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2015,0.1764783998243319,0.21728015851362417,0.1356766411350396
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2016,0.19192425855327278,0.22895159909628532,0.15489691801026023
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2017,0.21296100985790467,0.2548653396891768,0.17105668002663255
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2018,0.19516853254769273,0.241977251564423,0.14835981353096245
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2019,0.17676833506850975,0.2212963271391054,0.1322403429979141
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2020,0.16026731314162598,0.19829118772814996,0.122243438555102
Armenia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2021,0.13303295083702504,0.16545449142074747,0.10061141025330261
Armenia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1990,0.1174162889703354,0.1878847594870838,0.046947818453587
Armenia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1991,0.1083112834373683,0.1725067125270013,0.0441158543477352
Armenia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1992,0.1020519539131208,0.16083385542903822,0.04327005239720339
Armenia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1993,0.0910648680445689,0.1433657462910049,0.0387639897981328
Armenia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1994,0.0842655663060761,0.1330437921464604,0.0354873404656919
